Treatment,Sample,Bd Cq,Exo IPC Cq,NC Cq,Inhibition,Starting Quantity (SQ),Adjusted for No curve (actually a 0),Adjusted for dilution,ALL Bd GE ,Infected
pre-exposure,1,5.87,25.91,27.47,1.563,630077926.9,0,0,0,0
pre-exposure,2,20.62,28.23,27.47,-0.759,11399.27874,0,0,0,0
pre-exposure,3,33.99,27.36,27.47,0.113,0.57018,0.57018,456.1410404,456.1410404,1
pre-exposure,4,42.85,27.31,27.47,0.158,0.00081,0.00081,0.645374017,0.645374017,1
pre-exposure,5,30.5,27.66,27.47,-0.195,7.53572,7.53572,6028.575364,6028.575364,1
pre-exposure,7,37.69,28.08,27.47,-0.607,0.03666,0.03666,29.33073644,29.33073644,1
pre-exposure,8,41.48,28.01,27.47,-0.538,0.00222,0.00222,1.773657497,1.773657497,1
pre-exposure,10,11.13,27.24,27.47,0.235,12869864.97,0,0,0,0
pre-exposure,12,41.6,26.45,27.47,1.017,0.00203,0.00203,1.627316549,1.627316549,1
pre-exposure,13,36.6,27.34,27.47,0.126,0.08247,0.08247,65.97389215,65.97389215,1
pre-exposure,14,28.84,26.97,27.47,0.498,25.71071,25.71071,20568.56446,20568.56446,1
pre-exposure,15,39.73,28.27,27.47,-0.804,0.00812,0.00812,6.493576981,6.493576981,1
pre-exposure,16,20.29,27.9,27.47,-0.426,14548.87312,0,0,0,0
pre-exposure,18,38.72,27.33,27.47,0.138,0.01715,0.01715,13.71655908,13.71655908,1
pre-exposure,19,42.4,26.75,27.47,0.721,0.00112,0.00112,0.89986956,0.89986956,1
pre-exposure,21,20.6,27.4,27.47,0.066,11532.09372,0,0,0,0
pre-exposure,22,19.03,27.28,27.47,0.189,36946.85203,0,0,0,0
pre-exposure,23,29.35,28.04,27.47,-0.571,17.72177,17.72177,14177.41873,14177.41873,1
pre-exposure,24,19.25,28.31,27.47,-0.837,31310.17843,0,0,0,0
pre-exposure,25,41.02,28.52,27.47,-1.052,0.00311,0.00311,2.486596054,2.486596054,1
pre-exposure,26,22.92,28.19,27.47,-0.717,2070.36771,0,0,0,0
pre-exposure,28,11.73,30.03,27.47,-2.557,8244233.008,0,0,0,0
pre-exposure,29,22.03,28.07,27.47,-0.603,3985.46002,0,0,0,0
pre-exposure,30,28.82,27.89,27.47,-0.421,26.17697,26.17697,20941.57319,20941.57319,1
post-exposure,31,37.4,28.47,27.47,-0.998,0.0456,0.0456,36.48139936,36.48139936,1
post-exposure,32,14.46,28.09,27.47,-0.618,1089199.328,0,0,0,0
post-exposure,33,36.84,25.8,27.47,1.674,0.06878,0.06878,55.02610707,55.02610707,1
post-exposure,34,29.78,25.67,27.47,1.797,12.89561,12.89561,10316.48684,10316.48684,1
post-exposure,35,15.19,28.07,27.47,-0.602,634308.2452,0,0,0,0
post-exposure,36,44.48,25.69,27.47,1.778,0.00024,0.00024,0.192475165,0.192475165,1
post-exposure,37,29.45,27.44,27.47,0.026,16.37906,16.37906,13103.24651,13103.24651,1
post-exposure,38,14.84,28.56,27.47,-1.091,821160.5435,0,0,0,0
post-exposure,39,47.66,28.07,27.47,-0.602,0.00002,0.00002,0.018290023,0.018290023,1
